Name;Tier;Type;Archetype;Roles;Trigger;Effect;Released;Packs;Ownership
African Wild Dog;1;Pet;;;;No ability.;No;Pack6;Pack6
Alchemedes;1;Pet;Mana;Enabler;Start of battle; Give the nearest friend ahead +1 mana.;Yes;Pack5;Pack5
Amami Rabbit;1;Pet;;;;No ability.;No;Pack6;Pack6
AmazonRiverDolphin;1;Pet;;;;No ability.;No;Pack6;Pack6
Amsterdam Albatross;1;Pet;;;;No ability.;No;Pack6;Pack6
Angelshark;1;Pet;;;;No ability.;No;Pack6;Pack6
Ant;1;Pet;Diva;Tempo;Faint; Give one random friend +1 attack and +1 health.;Yes;Pack1;Pack1
Ant;1;Pet;;;Faint; Summon one Ant with 1–2 health.;No;Pack7;Pack7
Araripe Manakin;1;Pet;;;;No ability.;No;Pack6;Pack6
Axehandle Hound;1;Pet;Standard;Tech;Start of battle; If the enemy has multiple copies, deal 10 damage to one of them.;Yes;Pack5;Pack5
Aye-Aye;1;Pet;;;;No ability.;No;Pack6;Pack6
Baku;1;Pet;;;End turn; If turn number is even, replace ailment on one random friend with +1 health.;Yes;Pack5;Pack5
Banggai Cardinalfish;1;Pet;;;;No ability.;No;Pack6;Pack6
Barghest;1;Pet;Ailer;Enabler;Start of battle; Make the last perk-less enemy Spooked.;Yes;Pack5;Pack5
Basilisk;1;Pet;;Tech;Start of battle; Transform the nearest pet ahead to a Rock with +2 health.;Yes;Custom;Pack5
Bat;1;Pet;;;Start of battle; Deal 1–2 damage to one random enemy.;No;Pack7;Pack7
Bay Cat;1;Pet;;;;No ability.;No;Pack6;Pack6
Beaver;1;Pet;Cycler;Enabler;Sell; Give two random friends +1 attack.;Yes;Pack1 Pack2;Pack1 Pack2
Beetle;1;Pet;Perky;;Start of battle; Gain Honey perk.;Yes;Pack2;Pack2
Black Rhino;1;Pet;;;;No ability.;No;Pack6;Pack6
Blue Whale;1;Pet;;;;No ability.;No;Pack6;Pack6
Bluebird;1;Pet;Standard;Scaler;End turn; Give one random friend +1 attack.;Yes;Pack2;Pack2
BlueFootedBooby;1;Pet;;;;No ability.;No;Pack6;Pack6
Blue-Throated Macaw;1;Pet;;;;No ability.;No;Pack6;Pack6
Bombus Dahlbomii;1;Pet;;;;No ability.;No;Pack6;Pack6
Bonobo;1;Pet;;;;No ability.;No;Pack6;Pack6
Bulldog;1;Pet;;;After attack; Set attack equal to health + 1.;Yes;Pack4;Pack4
Bunyip;1;Pet;Roller;Tempo;Start of battle; Gain +1 health for each time you rolled this turn, up to 3 rolls.;Yes;Pack5;Pack5
California Condor;1;Pet;;;;No ability.;No;Pack6;Pack6
Chinchilla;1;Pet;Cycler;;Sell; Summon one 2/2 level 1 Loyal Chinchilla.;Yes;Pack2 Custom;Pack2 Custom
Chipmunk;1;Pet;Perky;;Sell; Stock one 1-gold copy of this pet's food perk.;Yes;Pack2 Pack4;Pack2 Pack4
Cockroach;1;Pet;Standard;;Start of turn; Set attack to the current shop tier + 1.;Yes;Pack3;Pack3
Cone Snail;1;Pet;;;Start of battle; Give the nearest friend behind +2 health.;Yes;Pack4;Pack4
Cricket;1;Pet;Summoner;;Faint; Summon one 1/1 Cricket.;Yes;Pack1;Pack1
Cuddle Toad;1;Pet;Toys;Enabler;Sell; Choose one witch toy that breaks after 2 turns.;Yes;Pack5;Pack5
Darwin's Fox;1;Pet;;;;No ability.;No;Pack6;Pack6
Duck;1;Pet;Bacta;Enabler;Sell; Give shop pets +1 health.;Yes;Pack1 Pack2;Pack1 Pack2
Duckling;1;Pet;Cycler;Pivot;Sell; Give left-most shop pet +2 health.;Yes;Pack3;Pack3
Ethiopian Wolf;1;Pet;;;;No ability.;No;Pack6;Pack6
European Mink;1;Pet;;;;No ability.;No;Pack6;Pack6
Fan Mussel;1;Pet;;;;No ability.;No;Pack6;Pack6
Ferret;1;Pet;Toys;;Buy; Choose one level 1 toy from tier 1.;Yes;Pack2;Pack2
